-----------------
Loop: 1
[V, , , , ,G, , ,C, ,C,C,I,G, , ,G, ,I,C, ,W,C,E,E,C,I,C,W, ,C,W,C, ,G,E, , ,W, ,W,E,C,I,G,I,W,I, , , ,W, , ,C, ,E,W,C,W,C,G, , ,C, ,W,I,E, ,C, ,C, ,G, ,C, , , , ,E, , ,G, , ,E, , , , ,G,E,E,I, ,G, , ] | _,_,A,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_
[C,W,W,C,W,E,G,G, ,I, ,E, ,W,C,W, , ,E,E,E,G, ,I,W,W, , ,E,G, ,E, ,C,G,E,I,W, ,G,G, ,E,G, , , ,E, ,C, ,E, ,E,G,E, ,W,E,C, ,E,G,W, , ,G,E, ,E,C, ,E,I, , ,C,C,C, ,E,C,C,C,C,C, ,G,G,I,E,W, ,G,I,E,W,E,C,E] | _,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_
[ , ,W,W,W, ,G,C,W, , ,I,G, ,I,C,E,E, , , ,I,W,G, , , , ,C,E, ,G,E,E,W, ,C, , ,W,W, ,E,G, ,C, , , ,C,I,G,C,C,G,G, , , ,E, , ,W,W,E,I, , ,I, ,E,W,E,E, ,I,G, , , , , , ,E, ,W,W,I,G, , ,W,I,E,E, , ,E,E, ] | A,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_
[ ,C,C, , ,W,G,E, , ,E,E,C,W,G,C,C, ,W,G, ,I,W,E,W, , , ,G, , ,C, ,G,W,G, ,G, ,I,E, ,E, ,W,W, ,E, ,E,E,G, ,I,W,W,G,C,W,E,G,G, , ,I,W,E,E,G,C,E,W,E, ,E, ,I, ,G, ,I,C,G, ,E, , , , ,E,C, ,I, ,C, ,E,E,W, ] | _,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_
[ ,G,G, , , , , ,C,I, ,I,E,C,E,G, ,G, ,C, , , ,I,I,I, ,I,W, , ,E, ,I,W,I, ,E,E,I,E,G,C,G,I, , ,I, ,W, , ,E,E,W,C, ,W,E, ,I, ,E,G, , , ,W,E, , , ,G, , , , ,C, , ,E,G, ,E,E, ,W,E,I, , ,I,G,E, ,E, ,E,C,W] | _,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_
[E,C, ,E,E,W,C,G, , ,E,C, ,W,C, ,G,E, ,G,E, ,I,G,G,C,E,W,G,I,E, , ,C,E,E, , ,I, , , , ,I, ,C,W,I, , ,C, ,W, , , ,W,E, ,W, , , ,C, ,E,I,E, ,C,G,I, ,I, ,E,G,W,C, , , ,G, ,E,I,W, ,E,W,C,I,G, ,C,C,G,I, , ] | _,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_
[E,W,W,G,I,G, ,I,I,W,E, ,I,C,C,I,I,G, ,E, ,G,W,E,C,W,I,E,C,G, , ,E,W,E, , , , , ,C, ,E,G,C,G,G,G,E,E,E, , , ,I,I,I, , , ,C,C,I, ,I,W, ,C, ,W,G, , , ,E, , , , , ,I, ,W, ,E,C,C,I, , ,I, ,E, ,I,W,W,W, ,I] | _,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_
[E, ,G,W,G,E,I,W, , , ,C, , , ,G,C,I,W,E, , ,C,C,G,G,W, , ,I, ,C,E, , , ,E, ,I,G,W,W,I,C,G, , , ,C, ,W, ,W,E, , ,E,G, , ,W,C, , , ,E,W,G,I,E, , ,C, ,E, , ,E,C,C,W,C,G, ,E,E, ,E,G,W,I, ,I, ,C, ,E,C, , ] | _,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_
[ , ,G,G,W, , , , ,E,W,I,E, ,I,C,E,I,W,E,G,E,E, ,I,C,E, ,C, ,E, ,E, , ,E, ,W,G,I, , , ,W, ,E,I,I, ,E, ,E, , ,E,G,W, ,W,E, ,E, ,E, , , ,I,W,E, , ,E, , ,E, ,C,C, ,W,C,E,E, ,W, , ,W, , , ,C,G,W, , , ,W,I] | _,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_
[ ,I, , ,G,C,E,G,G, ,I,W, ,G,W,G, ,W, ,W, ,E,W, ,E, ,E,I,I, ,G, ,I, , ,G,C,E,E,W, , ,W, ,I, , ,G, ,I,G, ,W, ,C,W, ,E,I,W, ,W, ,G,I,C, , , , ,C,G,C,E,C,G,C, ,G, ,E, , , , ,I, ,E,G, , ,G,G, , , , , ,I,I] | _,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_
[G,C, ,G, ,E, , , , ,E,E, , ,G,C, , ,C,E, ,E,C,I,I, ,I,C,W, , ,I, , ,W,E,I, , ,C,G,I, ,E,I,G, , ,W,C, ,E, ,E,G, , ,E,C, , ,E, , ,E, ,I,G,E, ,W, ,C,E, ,E,G, , , ,E, , , ,W, , ,E,W, , ,E, ,E,E, , ,G, ,W] | _,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_
